year,province,gdp
1949,北京,2.8
1949,天津,4.1
1949,河北,0
1949,山西,0
1949,内蒙古,0
1949,辽宁,0
1949,吉林,0
1949,黑龙江,0
1949,上海,20.3
1949,江苏,0
1949,浙江,0
1949,安徽,0
1949,福建,0
1949,江西,9.1
1949,山东,0
1949,河南,20.9
1949,湖北,0
1949,湖南,0
1949,广东,20.3
1949,广西,0
1949,海南,0
1949,重庆,13.9
1949,四川,0
1949,贵州,6.2
1949,云南,8.9
1949,西藏,0
1949,陕西,0
1949,甘肃,0
1949,青海,1.2
1949,宁夏,0
1949,新疆,0
1950,北京,4.6
1950,天津,7.6
1950,河北,0
1950,山西,0
1950,内蒙古,0
1950,辽宁,0
1950,吉林,0
1950,黑龙江,0
1950,上海,22.4
1950,江苏,0
1950,浙江,17.4
1950,安徽,0
1950,福建,0
1950,江西,14.1
1950,山东,0
1950,河南,14.6
1950,湖北,0
1950,湖南,0
1950,广东,22.2
1950,广西,9.4
1950,海南,0
1950,重庆,15.0
1950,四川,0
1950,贵州,6.4
1950,云南,9.5
1950,西藏,0
1950,陕西,0
1950,甘肃,0
1950,青海,1.3
1950,宁夏,0
1950,新疆,0
1951,北京,7.7
1951,天津,11.5
1951,河北,0
1951,山西,0
1951,内蒙古,0
1951,辽宁,0
1951,吉林,0
1951,黑龙江,0
1951,上海,31.5
1951,江苏,0
1951,浙江,21.1
1951,安徽,0
1951,福建,0
1951,江西,15.2
1951,山东,0
1951,河南,32.9
1951,湖北,0
1951,湖南,0
1951,广东,25.7
1951,广西,11.0
1951,海南,0
1951,重庆,15.9
1951,四川,0
1951,贵州,7.7
1951,云南,10.5
1951,西藏,1.3
1951,陕西,0
1951,甘肃,0
1951,青海,1.5
1951,宁夏,0
1951,新疆,0
1952,北京,7.9
1952,天津,12.8
1952,河北,40.5
1952,山西,16.0
1952,内蒙古,12.2
1952,辽宁,41.4
1952,吉林,16.6
1952,黑龙江,26.0
1952,上海,36.7
1952,江苏,48.4
1952,浙江,24.5
1952,安徽,22.9
1952,福建,12.7
1952,江西,18.9
1952,山东,43.8
1952,河南,36.1
1952,湖北,24.5
1952,湖南,27.8
1952,广东,29.5
1952,广西,12.8
1952,海南,0
1952,重庆,17.9
1952,四川,24.6
1952,贵州,8.6
1952,云南,11.8
1952,西藏,1.3
1952,陕西,12.9
1952,甘肃,13.3
1952,青海,1.6
1952,宁夏,1.7
1952,新疆,7.9
1953,北京,19.3
1953,天津,17.6
1953,河北,42.5
1953,山西,19.9
1953,内蒙古,15.6
1953,辽宁,52.9
1953,吉林,19.0
1953,黑龙江,32.0
1953,上海,51.7
1953,江苏,53.4
1953,浙江,27.2
1953,安徽,27.0
1953,福建,14.4
1953,江西,19.7
1953,山东,45.8
1953,河南,41.3
1953,湖北,30.2
1953,湖南,30.3
1953,广东,41.2
1953,广西,14.2
1953,海南,0
1953,重庆,21.1
1953,四川,28.0
1953,贵州,10.0
1953,云南,14.9
1953,西藏,1.4
1953,陕西,17.4
1953,甘肃,13.9
1953,青海,1.7
1953,宁夏,1.7
1953,新疆,8.7
1954,北京,21.1
1954,天津,17.0
1954,河北,45.3
1954,山西,21.9
1954,内蒙古,19.5
1954,辽宁,56.9
1954,吉林,20.4
1954,黑龙江,36.7
1954,上海,54.7
1954,江苏,53.8
1954,浙江,28.7
1954,安徽,27.7
1954,福建,14.9
1954,江西,20.7
1954,山东,53.0
1954,河南,44.0
1954,湖北,25.5
1954,湖南,30.5
1954,广东,46.8
1954,广西,16.2
1954,海南,0
1954,重庆,22.5
1954,四川,32.1
1954,贵州,11.1
1954,云南,17.0
1954,西藏,1.4
1954,陕西,20.0
1954,甘肃,16.3
1954,青海,2.4
1954,宁夏,2.1
1954,新疆,10.5
1955,北京,23.9
1955,天津,17.1
1955,河北,49.2
1955,山西,23.9
1955,内蒙古,17.5
1955,辽宁,59.4
1955,吉林,21.1
1955,黑龙江,38.2
1955,上海,53.6
1955,江苏,59.0
1955,浙江,30.5
1955,安徽,37.1
1955,福建,16.5
1955,江西,21.9
1955,山东,57.8
1955,河南,46.5
1955,湖北,34.1
1955,湖南,35.8
1955,广东,47.6
1955,广西,17.4
1955,海南,0
1955,重庆,23.0
1955,四川,36.7
1955,贵州,11.6
1955,云南,18.3
1955,西藏,1.4
1955,陕西,20.6
1955,甘肃,17.8
1955,青海,2.9
1955,宁夏,2.2
1955,新疆,12.3
1956,北京,26.8
1956,天津,20.7
1956,河北,49.8
1956,山西,28.4
1956,内蒙古,24.6
1956,辽宁,72.0
1956,吉林,24.6
1956,黑龙江,42.2
1956,上海,63.6
1956,江苏,61.9
1956,浙江,33.5
1956,安徽,35.3
1956,福建,20.8
1956,江西,22.0
1956,山东,63.1
1956,河南,48.1
1956,湖北,44.6
1956,湖南,37.9
1956,广东,53.0
1956,广西,19.5
1956,海南,0
1956,重庆,26.0
1956,四川,44.1
1956,贵州,14.7
1956,云南,21.3
1956,西藏,1.6
1956,陕西,27.1
1956,甘肃,21.2
1956,青海,3.8
1956,宁夏,2.6
1956,新疆,14.1
