year,country,gdp
1960,阿鲁巴,0
1961,阿鲁巴,0
1962,阿鲁巴,0
1963,阿鲁巴,0
1964,阿鲁巴,0
1965,阿鲁巴,0
1966,阿鲁巴,0
1967,阿鲁巴,0
1968,阿鲁巴,0
1969,阿鲁巴,0
1970,阿鲁巴,0
1971,阿鲁巴,0
1972,阿鲁巴,0
1973,阿鲁巴,0
1974,阿鲁巴,0
1975,阿鲁巴,0
1976,阿鲁巴,0
1977,阿鲁巴,0
1978,阿鲁巴,0
1979,阿鲁巴,0
1980,阿鲁巴,0
1981,阿鲁巴,0
1982,阿鲁巴,0
1983,阿鲁巴,0
1984,阿鲁巴,0
1985,阿鲁巴,0
1986,阿鲁巴,4.0546341711746
1987,阿鲁巴,4.876024577464159
1988,阿鲁巴,5.96423607114715
1989,阿鲁巴,6.95304363031101
1990,阿鲁巴,7.64887117194486
1991,阿鲁巴,8.72138730754587
1992,阿鲁巴,9.58463200205402
1993,阿鲁巴,10.829797076556599
1994,阿鲁巴,12.456882531053902
1995,阿鲁巴,13.204748603352
1996,阿鲁巴,13.799608938547498
1997,阿鲁巴,15.3194413407821
1998,阿鲁巴,16.6510055865922
1999,阿鲁巴,17.2279888268156
2000,阿鲁巴,18.7345251396648
2001,阿鲁巴,19.2011173184358
2002,阿鲁巴,19.4134078212291
2003,阿鲁巴,20.2122905027933
2004,阿鲁巴,22.2849162011173
2005,阿鲁巴,23.3072625698324
2006,阿鲁巴,24.2458100558659
2007,阿鲁巴,26.1508379888268
2008,阿鲁巴,27.4525139664804
2009,阿鲁巴,24.9888268156425
2010,阿鲁巴,23.905027932960902
2011,阿鲁巴,25.4972067039106
2012,阿鲁巴,25.3463687150838
2013,阿鲁巴,25.8156424581006
2014,阿鲁巴,26.4972067039106
2015,阿鲁巴,26.9162011173184
2016,阿鲁巴,26.4692737430168
2017,阿鲁巴,27.005586592178798
1960,阿富汗,5.377778111111111
1961,阿富汗,5.48888895555556
1962,阿富汗,5.46666677777778
1963,阿富汗,7.511111911111111
1964,阿富汗,8.000000444444439
1965,阿富汗,10.0666663777778
1966,阿富汗,13.999999666666701
1967,阿富汗,16.7333341777778
1968,阿富汗,13.7333336666667
1969,阿富汗,14.0888892222222
1970,阿富汗,17.4888659555556
1971,阿富汗,18.311089711111098
1972,阿富汗,15.955554755555601
1973,阿富汗,17.3333326444444
1974,阿富汗,21.5555549777778
1975,阿富汗,23.6666661555556
1976,阿富汗,25.5555556666667
1977,阿富汗,29.5333341777778
1978,阿富汗,33.0000010888889
1979,阿富汗,36.9794040961098
1980,阿富汗,36.4172332199546
1981,阿富汗,34.7878790909091
1982,阿富汗,0
1983,阿富汗,0
1984,阿富汗,0
1985,阿富汗,0
1986,阿富汗,0
1987,阿富汗,0
1988,阿富汗,0
1989,阿富汗,0
1990,阿富汗,0
1991,阿富汗,0
1992,阿富汗,0
1993,阿富汗,0
1994,阿富汗,0
1995,阿富汗,0
1996,阿富汗,0
1997,阿富汗,0
1998,阿富汗,0
1999,阿富汗,0
2000,阿富汗,0
2001,阿富汗,0
2002,阿富汗,40.5517693336905
2003,阿富汗,45.155634138256396
2004,阿富汗,52.267751633020495
2005,阿富汗,62.0914004400519
2006,阿富汗,69.7128673172065
2007,阿富汗,97.4788610453251
2008,阿富汗,101.092180677904
2009,阿富汗,124.39087076766701
2010,阿富汗,158.565747314411
2011,阿富汗,178.042805381102
2012,阿富汗,200.01615788671901
2013,阿富汗,205.61054090399503
2014,阿富汗,204.84873230211102
2015,阿富汗,199.07111418993802
2016,阿富汗,193.626422666484
2017,阿富汗,201.91764940160198
1960,安哥拉,0
1961,安哥拉,0
1962,安哥拉,0
1963,安哥拉,0
1964,安哥拉,0
1965,安哥拉,0
1966,安哥拉,0
1967,安哥拉,0
1968,安哥拉,0
1969,安哥拉,0
1970,安哥拉,0
1971,安哥拉,0
1972,安哥拉,0
1973,安哥拉,0
1974,安哥拉,0
1975,安哥拉,0
1976,安哥拉,0
1977,安哥拉,0
1978,安哥拉,0
1979,安哥拉,0
1980,安哥拉,59.3050340083228
1981,安哥拉,55.504830359081495
1982,安哥拉,55.504830359081495
1983,安哥拉,57.8434159636339
1984,安哥拉,61.3147506523832
1985,安哥拉,75.5356045910428
1986,安哥拉,70.7206334544786
1987,安哥拉,80.8387201247326
1988,安哥拉,87.6925054973596
1989,安哥拉,102.010990395655
1990,安哥拉,112.28764963161801
1991,安哥拉,106.03784541197001
1992,安哥拉,83.0781097358848
1993,安哥拉,57.687204216136706
1994,安哥拉,44.383210173906804
1995,安哥拉,55.3874925994714
1996,安哥拉,75.2644660551712
1997,安哥拉,76.48377412832771
1998,安哥拉,65.0622960729432
1999,安哥拉,61.5292294298032
2000,安哥拉,91.29594818607491
2001,安哥拉,89.3606372320121
2002,安哥拉,152.85594828418
2003,安哥拉,178.12705294325002
2004,安哥拉,235.52052407548803
2005,安哥拉,369.709186992523
2006,安哥拉,523.81006892038
2007,安哥拉,652.66452081386
2008,安哥拉,885.386112051433
2009,安哥拉,703.0716367823801
2010,安哥拉,837.9949661120039
2011,安哥拉,1117.89686464441
2012,安哥拉,1280.52853643106
2013,安哥拉,1367.09862831194
2014,安哥拉,1457.12200312505
2015,安哥拉,1161.93649124151
2016,安哥拉,1011.23851090455
2017,安哥拉,1221.23822333591
1960,阿尔巴尼亚,0
1961,阿尔巴尼亚,0
1962,阿尔巴尼亚,0
1963,阿尔巴尼亚,0
1964,阿尔巴尼亚,0
1965,阿尔巴尼亚,0
1966,阿尔巴尼亚,0
1967,阿尔巴尼亚,0
1968,阿尔巴尼亚,0
1969,阿尔巴尼亚,0
1970,阿尔巴尼亚,0
1971,阿尔巴尼亚,0
1972,阿尔巴尼亚,0
1973,阿尔巴尼亚,0
1974,阿尔巴尼亚,0
1975,阿尔巴尼亚,0
1976,阿尔巴尼亚,0
1977,阿尔巴尼亚,0
1978,阿尔巴尼亚,0
1979,阿尔巴尼亚,0
1980,阿尔巴尼亚,0
1981,阿尔巴尼亚,0
1982,阿尔巴尼亚,0
1983,阿尔巴尼亚,0
1984,阿尔巴尼亚,18.5733801185488
1985,阿尔巴尼亚,18.9705013342015
1986,阿尔巴尼亚,20.9732625
1987,阿尔巴尼亚,20.8079625
1988,阿尔巴尼亚,20.5123625
1989,阿尔巴尼亚,22.5309
1990,阿尔巴尼亚,20.2855375
1991,阿尔巴尼亚,10.9955902777778
1992,阿尔巴尼亚,6.52174990837304
1993,阿尔巴尼亚,11.8531546846295
1994,阿尔巴尼亚,18.809515203972
1995,阿尔巴尼亚,23.9276485342107
1996,阿尔巴尼亚,31.9964257996974
1997,阿尔巴尼亚,22.585156100886202
1998,阿尔巴尼亚,25.459672532416
1999,阿尔巴尼亚,32.1211904417089
2000,阿尔巴尼亚,34.8035518860063
2001,阿尔巴尼亚,39.2209947097313
2002,阿尔巴尼亚,43.4807016519261
2003,阿尔巴尼亚,56.1149228286582
2004,阿尔巴尼亚,71.846813985698
2005,阿尔巴尼亚,80.5207564210781
2006,阿尔巴尼亚,88.96073938314069
2007,阿尔巴尼亚,106.77321490380699
2008,阿尔巴尼亚,128.81353984642598
2009,阿尔巴尼亚,120.44223457828699
2010,阿尔巴尼亚,119.269628349645
2011,阿尔巴尼亚,128.90867535556802
2012,阿尔巴尼亚,123.197847013346
2013,阿尔巴尼亚,127.762776489159
2014,阿尔巴尼亚,132.28244336324101
2015,阿尔巴尼亚,113.86927679087499
2016,阿尔巴尼亚,118.613537520672
2017,阿尔巴尼亚,130.250649665784
1960,安道尔,0
1961,安道尔,0
1962,安道尔,0
1963,安道尔,0
1964,安道尔,0
1965,安道尔,0
1966,安道尔,0
1967,安道尔,0
1968,安道尔,0
1969,安道尔,0
1970,安道尔,0.786192060850963
1971,安道尔,0.8940982035928141
1972,安道尔,1.13408231944085
1973,安道尔,1.50820102798401
1974,安道尔,1.86558696279204
1975,安道尔,2.2012724637681202
1976,安道尔,2.2728102462074102
1977,安道尔,2.54020153340635
1978,安道尔,3.08008897569444
1979,安道尔,4.11578334159643
1980,安道尔,4.46416105825017
1981,安道尔,3.88958731302938
1982,安道尔,3.7589595638346203
1983,安道尔,3.2786183294663602
1984,安道尔,3.30070689298282
1985,安道尔,3.46737964774951
1986,安道尔,4.820005940358801
1987,安道尔,6.113163994070881
1988,安道尔,7.2142593915155
1989,安道尔,7.95449332396346
1990,安道尔,10.2904848188051
1991,安道尔,11.0692858286629
1992,安道尔,12.1001365187713
1993,安道尔,10.0702575500065
1994,安道尔,10.175491243323801
1995,安道尔,11.7873899119295
1996,安道尔,12.239453566268201
1997,安道尔,11.8059727272727
1998,安道尔,12.1193239781713
1999,安道尔,12.3987630513531
2000,安道尔,14.3442970333518
2001,安道尔,14.9691275167785
2002,安道尔,17.3311688311688
2003,安道尔,23.9864559819413
2004,安道尔,29.3565929972684
2005,安道尔,32.5578908096008
2006,安道尔,35.4325680592147
2007,安道尔,40.1697235149192
2008,安道尔,40.0735315658415
2009,安道尔,36.605307029730504
2010,安道尔,33.5569536423841
2011,安道尔,34.4206283013622
2012,安道尔,31.6461518694591
2013,安道尔,32.8158523632501
2014,安道尔,33.5073636725488
2015,安道尔,28.1148940889431
2016,安道尔,28.773119469026497
2017,安道尔,30.133874239350902
1960,阿联酋,0
1961,阿联酋,0
1962,阿联酋,0
1963,阿联酋,0
1964,阿联酋,0
1965,阿联酋,0
1966,阿联酋,0
1967,阿联酋,0
1968,阿联酋,0
1969,阿联酋,0
1970,阿联酋,0
1971,阿联酋,0
1972,阿联酋,0
1973,阿联酋,0
1974,阿联酋,0
1975,阿联酋,147.206725065004
1976,阿联酋,192.130226910526
1977,阿联酋,248.717751646043
1978,阿联酋,237.758317834263
1979,阿联酋,312.25463217758204
1980,阿联酋,435.98748449047895
1981,阿联酋,493.33424135113097
1982,阿联酋,466.227186052847
1983,阿联酋,428.033233451376
1984,阿联酋,418.07954235903
1985,阿联酋,406.03650231544503
1986,阿联酋,339.436120947971
1987,阿联酋,363.849087442114
1988,阿联酋,362.756742032144
1989,阿联酋,414.649959139199
1990,阿联酋,507.014437482975
1991,阿联酋,515.5216562244619
1992,阿联酋,542.39171887769
1993,阿联酋,556.25170253337
1994,阿联酋,593.05093979842
1995,阿联酋,657.436665758649
1996,阿联酋,735.712339961863
1997,阿联酋,788.390084445655
1998,阿联酋,756.743362831858
1999,阿联酋,844.4547311095979
2000,阿联酋,1043.37372362151
2001,阿联酋,1033.11640571818
2002,阿联酋,1098.16201497617
2003,阿联酋,1243.4635806671201
2004,阿联酋,1478.2437031994602
2005,阿联酋,1806.1746795423
2006,阿联酋,2221.16541865214
2007,阿联酋,2579.16133424098
2008,阿联酋,3154.74615738598
2009,阿联酋,2535.4735874744697
2010,阿联酋,2897.87338325391
2011,阿联酋,3506.66031313819
2012,阿联酋,3745.90605854323
2013,阿联酋,3901.07556160654
2014,阿联酋,4031.37100068073
2015,阿联酋,3581.35057862492
2016,阿联酋,3570.4506466984303
2017,阿联酋,3777.0106017747
1960,阿根廷,0
1961,阿根廷,0
1962,阿根廷,244.506048776081
1963,阿根廷,182.721236644715
1964,阿根廷,256.052493817597
1965,阿根廷,283.447059666389
1966,阿根廷,286.304747279023
1967,阿根廷,242.566675532569
1968,阿根廷,264.368572474982
1969,阿根廷,312.562845436155
1970,阿根廷,315.84210365544703
1971,阿根廷,332.931990954881
1972,阿根廷,347.33000536286204
1973,阿根廷,525.440001169037
1974,阿根廷,724.367773424554
1975,阿根廷,524.386479219226
1976,阿根廷,511.69499890772204
1977,阿根廷,567.810001009448
1978,阿根廷,580.828701562634
1979,阿根廷,692.523289533789
1980,阿根廷,769.6192374194779
1981,阿根廷,786.768423664213
1982,阿根廷,843.07486836724
1983,阿根廷,1039.7910677791099
1984,阿根廷,790.9200199803199
1985,阿根廷,884.166689002596
1986,阿根廷,1109.34442762694
1987,阿根廷,1111.06191358197
1988,阿根廷,1262.06817196091
1989,阿根廷,766.3689803647121
1990,阿根廷,1413.52368714691
1991,阿根廷,1897.19984268485
1992,阿根廷,2287.8861720169602
1993,阿根廷,2367.41715015015
1994,阿根廷,2574.4
1995,阿根廷,2580.3175
1996,阿根廷,2721.4975
1997,阿根廷,2928.59
1998,阿根廷,2989.4825
1999,阿根廷,2835.23
2000,阿根廷,2842.0375
2001,阿根廷,2686.9675
2002,阿根廷,977.240042518602
2003,阿根廷,1275.86973492177
2004,阿根廷,1646.57930452787
2005,阿根廷,1987.3709501228202
2006,阿根廷,2325.57260817308
2007,阿根廷,2875.30508430568
2008,阿根廷,3615.58037110419
2009,阿根廷,3329.76484577619
2010,阿根廷,4236.2742209249
2011,阿根廷,5301.6328157465805
2012,阿根廷,5459.82375701128
2013,阿根廷,5520.25140252246
2014,阿根廷,5263.19673731638
2015,阿根廷,5947.492854132121
2016,阿根廷,5575.31376217967
2017,阿根廷,6426.9586475635
1960,亚美尼亚,0
1961,亚美尼亚,0
1962,亚美尼亚,0
1963,亚美尼亚,0
1964,亚美尼亚,0
1965,亚美尼亚,0
1966,亚美尼亚,0
1967,亚美尼亚,0
1968,亚美尼亚,0
1969,亚美尼亚,0
1970,亚美尼亚,0
1971,亚美尼亚,0
1972,亚美尼亚,0
1973,亚美尼亚,0
1974,亚美尼亚,0
1975,亚美尼亚,0
1976,亚美尼亚,0
1977,亚美尼亚,0
1978,亚美尼亚,0
1979,亚美尼亚,0
1980,亚美尼亚,0
1981,亚美尼亚,0
1982,亚美尼亚,0
1983,亚美尼亚,0
1984,亚美尼亚,0
1985,亚美尼亚,0
1986,亚美尼亚,0
1987,亚美尼亚,0
1988,亚美尼亚,0
1989,亚美尼亚,0
1990,亚美尼亚,22.568388584271403
1991,亚美尼亚,20.6852652190299
